Iteration Times,Accuracy (%),Time (s)
50,93.12406576980567,28.338447093963623
60,93.27354260089686,33.460567235946655
90,93.42301943198804,50.96718502044678
120,94.17040358744396,66.72828006744385
150,94.46935724962631,83.7774920463562
